nickname,lastname,firstname,midname,birth,gender,influence
Абитуриент,Щукин,Илья,Трифонович,1985-12-10,false,5
Абориген,Марков,Артур,Титович,1973-07-18,false,4
Авиатор,Пономарёв,Аким,Зосимович,1968-06-29,false,4
Агент,Якушев,Тимур,Антонинович,1992-03-16,false,7
Адвокат,Евсеев,Семён,Иосифович,1963-09-09,false,4
Айболит,Кириллов,Гавриил,Евлампиевич,1976-08-14,false,5
Апостол,Яковлев,Артемий,Сергеевич,1984-01-16,false,6
Артист,Тимофеев,Олег,Вадимович,1964-07-27,false,4
Аскет,Васильев,Василий,Корнилович,1963-02-17,false,2
Аферист,Юдин,Лев,Ардальонович,1955-05-02,false,7
Аллигатор,Кабанов,Владислава,Онуфриевич,1985-04-07,false,5
Анаконда,Игнатов,Антон,Николаевич,2002-06-04,false,5
Абсолют,Трофимов,Марк,Спиридониевич,1991-12-12,false,3
Аномалия,Туров,Эльдар,Пахомович,1987-07-31,false,5
Бобёр,Филатов,Георгий,Рафаилович,1971-09-07,false,5
Бульдог,Попов,Богдан,Никонович,1963-05-04,false,2
Бык,Власов,Василий,Исидорович,1983-07-29,false,3
Батон,Горбачёв,Захар,Назарович,1999-11-09,false,2
Битый,Овчинников,Богдан,Емельянович,1969-09-18,false,7
Беспредел,Аксёнов,Семён,Патрикиевич,1994-11-08,false,2
Болт,Семёнов,Добрыня,Зосимич,1984-12-19,false,5
Бритва,Самсонов,Аркадий,Парфениевич,1991-01-01,false,6
Бубен,Юдин,Даниил,Парфениевич,1975-06-24,false,4
Бармалей,Беляев,Роман,Анисимович,1996-04-14,false,0
Батый,Дроздов,Лев,Осипович,1983-06-11,false,0
Банан,Веселов,Артемий,Куприянович,1993-05-01,false,6
Батя,Субботин,Михаил,Ермолаевич,1984-02-17,false,6
Баян,Марков,Вячеслав,Савватеевич,1951-06-17,false,4
Братан,Мухин,Рустам,Анастасиевич,1956-01-08,false,2
Блатной,Константинов,Эльдар,Антонинович,1979-07-17,false,6
Болтун,Прохоров,Ефим,Евменович,1986-01-15,false,4
Банкир,Зайцев,Станислав,Евстахиевич,1969-03-30,false,0
Борзой,Петухов,Владислава,Лаврентиевич,1987-04-24,false,7
Босяк,Власов,Владимир,Евстафиевич,2002-11-21,false,2
Барон,Юдин,Тимур,Викулич,1991-09-06,false,6
Барыга,Зиновьев,Фёдор,Яковлевич,2000-12-10,false,7
Бомж,Егоров,Гавриил,Нестерович,1974-12-03,false,1
Басурман,Петров,Валерий,Мартинович,1994-03-13,false,7
Боцман,Волков,Павел,Онисимович,1981-10-20,false,1
Бродяга,Петров,Виктор,Егорович,1960-12-25,false,4
Буржуй,Гущин,Демид,Устинович,2002-04-27,false,1
Бурбон,Бирюков,Матвей,Андроникович,1964-04-08,false,7
Бритый,Андреев,Аким,Семёнович,1964-10-28,false,3
Бывалый,Михайлов,Вячеслав,Христофорович,1969-10-06,false,3
Валет,Зуев,Мирон,Феофанович,1994-01-05,false,0
Винт,Миронов,Серафим,Назарович,1993-09-02,false,6
Водила,Панов,Ян,Кимович,1971-08-13,false,1
Вор,Фёдоров,Тимофей,Всеволодович,1953-06-13,false,5
Вандал,Петров,Егор,Лазаревич,1973-05-18,false,3
Варвар,Елисеев,Гавриил,Пименович,1993-06-06,false,2
Вахтёр,Субботин,Юрий,Фролович,1961-12-17,false,2
Ведьмак,Кузьмин,Виктор,Софронович,1956-09-02,false,1
Визитёр,Большаков,Валерий,Палладиевич,1952-07-16,false,4
Викинг,Андреев,Илья,Тихонович,1971-11-04,false,6
Водолаз,Кириллов,Назар,Авдеевич,1951-11-13,false,1
Вождь,Абрамов,Семён,Иустинович,2003-10-18,false,1
